City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,veraval,20.9,70.3667,29.54,59,0,7.95,IN,1712568827
202,kavieng,-2.5744,150.7967,26.04,87,100,2.59,PG,1712568827
203,aibak,36.2647,68.0155,24.32,29,12,2.99,AF,1712568827
204,mahebourg,-20.4081,57.7,29.58,79,40,3.6,MU,1712568828
205,esmeraldas,-19.7625,-44.3139,20.41,93,46,1.72,BR,1712568740
206,gadzhiyevo,69.2551,33.3362,-2.96,79,100,7.27,RU,1712568828
207,ust-nera,64.5667,143.2,-14.42,99,71,1.88,RU,1712568828
208,castillos,-34.1667,-53.8333,17.62,93,8,1.3,UY,1712568800
209,fauske,67.2588,15.3918,7.1,99,99,2.8,NO,1712568828
210,withernsea,53.7311,0.0335,13.3,84,100,5.69,GB,1712568829
211,mount isa,-20.7333,139.5,24.87,41,0,3.6,AU,1712568829
212,pandan,14.0453,124.1694,26.94,82,35,4.17,PH,1712568829
213,puerto ayora,-0.7393,-90.3518,23.64,98,38,1.7,EC,1712568829
214,hasaki,35.7333,140.8333,19.05,94,99,4.02,JP,1712568829
215,macin,45.2437,28.1356,21.25,29,1,1.17,RO,1712568830
216,tidjikja,18.5564,-11.4271,28.66,22,0,7.08,MR,1712568830
217,port macquarie,-31.4333,152.9167,19.94,72,91,1.21,AU,1712568580
218,karratha,-20.7377,116.8463,32.33,21,88,5.62,AU,1712568830
219,thunder bay,48.4001,-89.3168,3.99,75,100,4.63,CA,1712568734
220,carnarvon,-24.8667,113.6333,27.09,56,0,6.36,AU,1712568830
221,antsiranana,-12.2787,49.2917,32.42,58,20,6.17,MG,1712568831
222,yilan,24.757,121.753,22.92,91,92,1.21,TW,1712568831
223,abeche,13.8292,20.8324,37.76,6,61,5.71,TD,1712568831
224,guerrero negro,27.9769,-114.0611,14.19,68,3,9.02,MX,1712568831
225,khandyga,62.6667,135.6,-8.21,96,100,0.08,RU,1712568831
226,grand falls-windsor,48.9332,-55.6649,-1.39,82,14,1.79,CA,1712568831
227,pyt-yakh,60.7499,72.8582,-2.97,98,100,3.91,RU,1712568832
228,kiboga,0.9161,31.7742,25.01,59,90,2.77,UG,1712568832
229,sinsang-ni,39.6503,127.4058,9.9,51,100,0.82,KP,1712568832
230,saldanha,-33.0117,17.9442,19.03,87,89,4.67,ZA,1712568832
231,howard springs,-12.497,131.047,29.95,71,89,1.58,AU,1712568832
232,luanco,43.6152,-5.7934,15.01,80,99,3.13,ES,1712568832
233,urucara,-2.5364,-57.76,23.08,96,100,1.21,BR,1712568833
234,mar del plata,-38.0023,-57.5575,16.4,97,100,2.06,AR,1712568271
235,siofok,46.9041,18.058,18.29,60,87,4.66,HU,1712568833
236,taroudant,30.4703,-8.877,20.0,62,0,2.1,MA,1712568833
237,mandalgovi,45.7625,106.2708,8.95,47,100,3.58,MN,1712568833
238,whitehorse,60.7161,-135.0538,0.43,64,100,5.14,CA,1712568833
239,guarapari,-20.6667,-40.4975,22.16,77,75,1.52,BR,1712568744
240,kerikeri,-35.2268,173.9474,17.17,87,38,2.37,NZ,1712568834
241,redlands,34.0556,-117.1825,9.03,78,0,1.54,US,1712568671
242,nishinoomote,30.7333,131.0,21.31,100,100,2.06,JP,1712568834
243,howrah,22.5892,88.3103,32.0,48,40,4.63,IN,1712568834
244,ulladulla,-35.35,150.4667,15.98,82,34,2.99,AU,1712568834
245,francistown,-21.17,27.5079,20.92,83,100,4.7,BW,1712568834
246,pailon,-17.65,-62.75,25.5,97,100,2.47,BO,1712568835
247,along,28.1667,94.7667,23.38,68,100,0.69,IN,1712568835
248,keflavik,64.0049,-22.5624,1.24,75,75,10.8,IS,1712568835
249,al kharj,24.155,47.3346,31.32,25,100,5.61,SA,1712568665
250,kabare,-2.4683,28.8242,21.58,84,100,1.01,CD,1712568835
251,vila velha,-20.3297,-40.2925,22.19,95,0,1.54,BR,1712568295
252,grootfontein,-19.5667,18.1167,24.76,57,20,2.06,NA,1712568836
253,san antonio de pale,-1.4014,5.6325,28.28,76,97,3.35,GQ,1712568836
254,aljezur,37.3191,-8.8033,15.85,88,80,6.91,PT,1712568836
255,kitimat,54.0524,-128.6534,4.95,67,100,1.79,CA,1712568836
256,pangai,-19.8,-174.35,26.67,77,94,10.47,TO,1712568837
257,laguna,38.421,-121.4238,10.07,82,0,2.57,US,1712568837
